ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1163152315,"The Negro As Capitalist: A Study Of Banking And Business Among American Negroes",Paperback," "," ","Harris, Abram L.",5.91,0.45,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,19.96,USD,"Kessinger Publishing, LLC",220,0.50,8.90,6.00,0.80,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51Ri-J8LtjL._SL75_.jpg,"Kessinger Publishing, LLC",2330045
1163152382,"God Transcendent: Foundation For A Christian Metaphysic",Paperback,"Dickie, Edgar Primrose"," ","Heim, Karl",5.91,0.54,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,22.36,USD,"Kessinger Publishing, LLC",264,0.55,9.02,5.98,0.79,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51OzpH7aGRL._SL75_.jpg,"Kessinger Publishing, LLC"," "
1163152579,"The Christmas Dinner: From The Sketch Book",Paperback,"Ross, Gordon"," ","Irving, Washington",5.91,0.10,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,12.76,USD,"Kessinger Publishing, LLC",48,0.10,9.02,5.98,0.18,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51nyeZbjhqL._SL75_.jpg,"Kessinger Publishing, LLC"," "
116315265X,"Me, Triumphant: The Story Of A Salesman Who Got There",Paperback," "," ","Klein, Jack",5.91,0.49,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,21.56,USD,"Kessinger Publishing, LLC",236,0.60,8.90,5.90,0.80,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51zqYpxlEeL._SL75_.jpg,"Kessinger Publishing, LLC",3771484
1163152749,"The Book Of Legends, Tales From The Talmud And Midrash: Talmudic Period",Paperback," "," ","Goldin, Hyman E.",5.91,0.88,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,29.56,USD,"Kessinger Publishing, LLC",436,1.00,8.30,5.50,0.80,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51Ab2eMNiJL._SL75_.jpg,"Kessinger Publishing, LLC",2363313
1163152943,"History Of The 389th Infantry Regiment In World War II",Paperback," "," ","Irvin, John G.",5.91,0.51,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,21.56,USD,"Kessinger Publishing, LLC",248,0.52,9.02,5.98,0.75,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51l5sc93ANL._SL75_.jpg,"Kessinger Publishing, LLC",5176486
1163153141,"Carnack, The Life-Bringer: The Story Of A Dawn Man Told By Himself",Paperback,"Kidder, Alfred V."," ","Gale, Oliver Marble",5.91,0.79,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,27.16,USD,"Kessinger Publishing, LLC",388,0.80,9.02,5.98,1.14,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/516xBjs3awL._SL75_.jpg,"Kessinger Publishing, LLC"," "
1163153192,"Ancient Pagan Symbols",Paperback," "," ","Goldsmith, Elizabeth Edwards",5.91,0.59,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,23.16,USD,"Kessinger Publishing, LLC",284,0.70,8.80,6.00,0.85,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51aciDM5phL._SL75_.jpg,"Kessinger Publishing, LLC",2129299
1163153737,"Kate Bender, The Kansas Murderess: The Horrible History Of An Arch Killer",Paperback," "," ","Hardy, Allison",5.91,0.10,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,12.76,USD,"Kessinger Publishing, LLC",48,0.08,9.02,5.98,0.20,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51KWc%2BUKUdL._SL75_.jpg,"Kessinger Publishing, LLC",503409
116315413X,"Traitor Or Patriot: The Life And Death Of Roger Casement",Paperback," "," ","Gwynn, Denis",5.91,0.93,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,30.36,USD,"Kessinger Publishing, LLC",468,1.18,8.98,5.91,1.30,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51lUBlOInjL._SL75_.jpg,"Kessinger Publishing, LLC"," "
1163154148,"Shushin: The Ethics Of A Defeated Nation",Paperback," "," ","Hall, Robert King",5.91,0.54,8.88,8.88,"Kessinger Publishing, LLC",english,english,english,22.36,USD,"Kessinger Publishing, LLC",264,0.63,8.98,5.98,0.84,Book,ABIS_BOOK,2010-09-10,"Kessinger Publishing, LLC",http://ecx.images-amazon.com/images/I/51k7-PZLS9L._SL75_.jpg,"Kessinger Publishing, LLC"," "
